id,code,name,description
l10n_mx_immex_code_pedimento_BM,BM,"EXPORTACION TEMPORAL DE MERCANCIAS PARA SU TRANSFORMACION, ELABORACION O REPARACION (ARTICULO 117 DE LA LEY). ",SUPUESTOS DE APLICACION 
l10n_mx_immex_code_pedimento_BO,BO,"EXPORTACION TEMPORAL PARA REPARACION O SUSTITUCION Y RETORNO AL PAIS (IMMEX, RFE U OPERADOR ECONOMICO AUTORIZADO. ",SUPUESTOS DE APLICACION 
l10n_mx_immex_code_pedimento_BP,BP,"IMPORTACION Y EXPORTACION TEMPORAL DE MUESTRAS O MUESTRARIOS (ARTICULOS 106, FRACCION II, INCISO D) Y 116, FRACCION II, INCISO C) DE LA LEY).",SUPUESTOS DE APLICACION 
l10n_mx_immex_code_pedimento_BR,BR,EXPORTACION TEMPORAL Y RETORNO DE MERCANCIAS FUNGIBLES. ,SUPUESTOS DE APLICACION 
l10n_mx_immex_code_pedimento_H1,H1,RETORNO DE MERCANCIAS EN SU MISMO ESTADO. ,SUPUESTOS DE APLICACION 
l10n_mx_immex_code_pedimento_H8,H8,RETORNO DE ENVASES. ,SUPUESTOS DE APLICACION 
l10n_mx_immex_code_pedimento_I1,I1,"IMPORTACION, EXPORTACION Y RETORNO DE MERCANCIAS ELABORADAS, TRANSFORMADAS O REPARADAS. ",SUPUESTOS DE APLICACION 
l10n_mx_immex_code_pedimento_F4,F4,CAMBIO DE REGIMEN DE INSUMOS O DE MERCANCIA EXPORTADA TEMPORALMENTE. ,SUPUESTOS DE APLICACION 
l10n_mx_immex_code_pedimento_F5,F5,CAMBIO DE REGIMEN DE MERCANCÍAS DE IMPORTACIÓN TEMPORAL A DEFINITIVA. ,SUPUESTOS DE APLICACION 
l10n_mx_immex_code_pedimento_IN,IN,"IMPORTACION TEMPORAL DE BIENES QUE SERAN SUJETOS A TRANSFORMACION, ELABORACION O REPARACION (IMMEX). ",IMMEX
l10n_mx_immex_code_pedimento_AF,AF,IMPORTACION TEMPORAL DE BIENES DE ACTIVO FIJO (IMMEX). ,IMMEX
l10n_mx_immex_code_pedimento_RT,RT,RETORNO DE MERCANCIAS (IMMEX). ,IMMEX
l10n_mx_immex_code_pedimento_A4,A4,INTRODUCCION PARA DEPOSITO FISCAL (AGD). ,"DEPOSITO FISCAL
ALMACENES GENERALES DE DEPOSITO (AGD) "
l10n_mx_immex_code_pedimento_E1,E1,"EXTRACCION DE DEPOSITO FISCAL DE BIENES QUE SERAN SUJETOS A TRANSFORMACION, ELABORACION O REPARACION (AGD). ","DEPOSITO FISCAL
ALMACENES GENERALES DE DEPOSITO (AGD) "
l10n_mx_immex_code_pedimento_E2,E2,EXTRACCION DE DEPOSITO FISCAL DE BIENES DE ACTIVO FIJO (AGD). ,"DEPOSITO FISCAL
ALMACENES GENERALES DE DEPOSITO (AGD) "
l10n_mx_immex_code_pedimento_G1,G1,EXTRACCION DE DEPOSITO FISCAL (AGD). ,"DEPOSITO FISCAL
ALMACENES GENERALES DE DEPOSITO (AGD) "
l10n_mx_immex_code_pedimento_C3,C3,XTRACCION DE DEPOSITO FISCAL DE FRANJA O REGION FRONTERIZA (AGD). ,"DEPOSITO FISCAL
ALMACENES GENERALES DE DEPOSITO (AGD) "
l10n_mx_immex_code_pedimento_K2,K2,EXTRACCION DE DEPOSITO FISCAL POR DESISTIMIENTO O TRANSFERENCIAS (AGD). ,"DEPOSITO FISCAL
ALMACENES GENERALES DE DEPOSITO (AGD) "
l10n_mx_immex_code_pedimento_A5,A5,INTRODUCCION A DEPOSITO FISCAL EN LOCAL AUTORIZADO. ,"LOCALES AUTORIZADOS
PARA EXPOSICIONES INTERNACIONALES DE MERCANCIAS QUE INGRESAN AL REGIMEN DE DEPOSITO FISCAL"
l10n_mx_immex_code_pedimento_E3,E3,EXTRACCION DE DEPOSITO FISCAL EN LOCAL AUTORIZADO (INSUMOS). ,"LOCALES AUTORIZADOS
PARA EXPOSICIONES INTERNACIONALES DE MERCANCIAS QUE INGRESAN AL REGIMEN DE DEPOSITO FISCAL"
l10n_mx_immex_code_pedimento_E4,E4,EXTRACCION DE DEPOSITO FISCAL EN LOCAL AUTORIZADO (ACTIVO FIJO). ,"LOCALES AUTORIZADOS
PARA EXPOSICIONES INTERNACIONALES DE MERCANCIAS QUE INGRESAN AL REGIMEN DE DEPOSITO FISCAL"
l10n_mx_immex_code_pedimento_G2,G2,EXTRACCION DE DEPOSITO FISCAL EN LOCAL AUTORIZADO PARA SU IMPORTACION DEFINITIVA. ,"LOCALES AUTORIZADOS
PARA EXPOSICIONES INTERNACIONALES DE MERCANCIAS QUE INGRESAN AL REGIMEN DE DEPOSITO FISCAL"
l10n_mx_immex_code_pedimento_K3,K3,EXTRACCION DE DEPOSITO FISCAL EN LOCAL AUTORIZADO PARA RETORNO O TRANSFERENCIA. ,"LOCALES AUTORIZADOS
PARA EXPOSICIONES INTERNACIONALES DE MERCANCIAS QUE INGRESAN AL REGIMEN DE DEPOSITO FISCAL"
l10n_mx_immex_code_pedimento_F2,F2,INTRODUCCION A DEPOSITO FISCAL (IA). ,SUPUESTOS DE APLICACION 
l10n_mx_immex_code_pedimento_F3,F3,EXTRACCION DE DEPOSITO FISCAL (IA). ,SUPUESTOS DE APLICACION 
