id,code,name,dangerous
l10n_mx_wbl_products_services_10131604,10131604,Correas para perros,0
l10n_mx_wbl_products_services_10141500,10141500,Talabartería,0
l10n_mx_wbl_products_services_10141501,10141501,Sillas de montar,0
l10n_mx_wbl_products_services_10141502,10141502,Fustas y látigos,0
l10n_mx_wbl_products_services_10141503,10141503,Herraduras para caballo,0
l10n_mx_wbl_products_services_10141504,10141504,Herraduras para mula,0
l10n_mx_wbl_products_services_10141505,10141505,Sillín o pelero,0
l10n_mx_wbl_products_services_10141600,10141600,Arneses,0
l10n_mx_wbl_products_services_10141601,10141601,Bridas,0
l10n_mx_wbl_products_services_10141602,10141602,Yugos,0
l10n_mx_wbl_products_services_10141603,10141603,Bocados para caballos,0
l10n_mx_wbl_products_services_10141604,10141604,Riendas,0
l10n_mx_wbl_products_services_10141605,10141605,Estribos,0
l10n_mx_wbl_products_services_10141606,10141606,Correas o traíllas,0
l10n_mx_wbl_products_services_10141607,10141607,Arneses de cuello para animales,0
l10n_mx_wbl_products_services_10141608,10141608,Arneses o sus accesorios,0
l10n_mx_wbl_products_services_10141609,10141609,Sujetadores,0
l10n_mx_wbl_products_services_10141610,10141610,Bozales,0
l10n_mx_wbl_products_services_10141611,10141611,Soportes para correas,0
l10n_mx_wbl_products_services_10151500,10151500,Semillas y plántulas vegetales,0
l10n_mx_wbl_products_services_10151501,10151501,Semillas o plántulas de fríjol,0
l10n_mx_wbl_products_services_10151502,10151502,Semillas o plántulas de zanahoria,0
l10n_mx_wbl_products_services_10151503,10151503,Semillas o plántulas de apio,0
l10n_mx_wbl_products_services_10151504,10151504,Semillas o plántulas de chiles,0
l10n_mx_wbl_products_services_10151505,10151505,Semillas o plántulas de calabacín,0
l10n_mx_wbl_products_services_10151506,10151506,Semillas o plántulas de alverja,0
l10n_mx_wbl_products_services_10151507,10151507,Semillas o plántulas de pepino cohombro,0
l10n_mx_wbl_products_services_10151508,10151508,Semillas o plántulas de berenjena,0
l10n_mx_wbl_products_services_10151509,10151509,Semillas o plántulas de endivias,0
l10n_mx_wbl_products_services_10151510,10151510,Semillas o plántulas de ajo,0
l10n_mx_wbl_products_services_10151511,10151511,Semillas o plántulas de puerro,0
l10n_mx_wbl_products_services_10151512,10151512,Semillas o plántulas de lechuga,0
l10n_mx_wbl_products_services_10151513,10151513,Semillas o plántulas de maíz,0
l10n_mx_wbl_products_services_10151514,10151514,Semillas o plántulas de melón,0
l10n_mx_wbl_products_services_10151515,10151515,Semillas o plántulas cebolla,0
l10n_mx_wbl_products_services_10151516,10151516,Semillas o plántulas de soya,0
l10n_mx_wbl_products_services_10151517,10151517,Semillas o plántulas de espinaca,0
l10n_mx_wbl_products_services_10151518,10151518,Semillas o plántulas de tomate,0
l10n_mx_wbl_products_services_10151519,10151519,Semillas o plántulas de nabo,0
l10n_mx_wbl_products_services_10151520,10151520,Semillas o plántulas de acelga,0
l10n_mx_wbl_products_services_10151521,10151521,Semillas o plántulas de pimiento morrón,0
l10n_mx_wbl_products_services_10151522,10151522,Semillas o plántulas de remolacha,0
l10n_mx_wbl_products_services_10151523,10151523,Semillas o plántulas de coliflor,0
l10n_mx_wbl_products_services_10151524,10151524,Semillas o plántulas de perejil,0
l10n_mx_wbl_products_services_10151525,10151525,Semillas o plántulas de brócoli,0
l10n_mx_wbl_products_services_10151526,10151526,Semillas o plántulas de repollo,0
l10n_mx_wbl_products_services_10151527,10151527,Semillas o plántulas de papa,0
l10n_mx_wbl_products_services_10151528,10151528,Semillas o plántulas de batata,0
l10n_mx_wbl_products_services_10151529,10151529,Semillas o plántulas de calabaza,0
l10n_mx_wbl_products_services_10151530,10151530,Semillas o plántulas de rábano,0
l10n_mx_wbl_products_services_10151531,10151531,Semillas o plántulas de repollitos de bruselas,0
l10n_mx_wbl_products_services_10151532,10151532,Semillas o plántulas de ahuyama,0
l10n_mx_wbl_products_services_10151533,10151533,Semillas o plántulas de okra,0
l10n_mx_wbl_products_services_10151534,10151534,Semillas o plántulas de melón cantalupo,0
l10n_mx_wbl_products_services_10151535,10151535,Semillas o plántulas de maní,0
l10n_mx_wbl_products_services_10151536,10151536,Semillas o plántulas de caigua,0
l10n_mx_wbl_products_services_10151537,10151537,Semillas o plántulas de espárrago,0
l10n_mx_wbl_products_services_10151538,10151538,Semillas o plántulas de garbanzo,0
l10n_mx_wbl_products_services_10151539,10151539,Semillas o plántulas de haba,0
l10n_mx_wbl_products_services_10151600,10151600,Semillas de cereales,0
l10n_mx_wbl_products_services_10151601,10151601,Semillas de trigo,0
l10n_mx_wbl_products_services_10151602,10151602,Semillas de canola,0
l10n_mx_wbl_products_services_10151603,10151603,Semillas de cebada,0
l10n_mx_wbl_products_services_10151604,10151604,Semillas de mijo,0
l10n_mx_wbl_products_services_10151605,10151605,Semillas de avena,0
l10n_mx_wbl_products_services_10151606,10151606,Semillas de ajonjolí,0
l10n_mx_wbl_products_services_10151607,10151607,Semillas de linaza,0
l10n_mx_wbl_products_services_10151608,10151608,Semillas de aceite de ricino,1
l10n_mx_wbl_products_services_10151609,10151609,Semillas de maíz,0
l10n_mx_wbl_products_services_10151610,10151610,Semillas de centeno,0
l10n_mx_wbl_products_services_10151611,10151611,Semillas de sorgo,0
l10n_mx_wbl_products_services_10151612,10151612,Semillas o plántulas de kiwicha,0
l10n_mx_wbl_products_services_10151613,10151613,Semillas o plántulas de quínoa,0
l10n_mx_wbl_products_services_10151700,10151700,Semillas y plántulas de hierba y forraje,0
l10n_mx_wbl_products_services_10151701,10151701,Semillas o plántulas de arroz,0
l10n_mx_wbl_products_services_10151702,10151702,Semillas o plántulas de trébol,0
l10n_mx_wbl_products_services_10151703,10151703,Semillas o plántulas de alfalfa,0
l10n_mx_wbl_products_services_10151704,10151704,Semillas o plántulas de pasto,0
l10n_mx_wbl_products_services_10151705,10151705,Semillas o plántulas de veza (gachas / guija),0
l10n_mx_wbl_products_services_10151706,10151706,Semillas o plántulas de guar,0
l10n_mx_wbl_products_services_10151800,10151800,Semillas y plántulas de especias,0
l10n_mx_wbl_products_services_10151801,10151801,Semillas o plántulas de pimienta,0
l10n_mx_wbl_products_services_10151802,10151802,Semillas o plántulas de vainilla,0
l10n_mx_wbl_products_services_10151803,10151803,Semillas o plántulas de canela,0
l10n_mx_wbl_products_services_10151804,10151804,Semillas o plántulas de clavo de olor,0
l10n_mx_wbl_products_services_10151805,10151805,Semillas o plántulas de cilantro,0
l10n_mx_wbl_products_services_10151806,10151806,Semillas o plántulas de jengibre,0
l10n_mx_wbl_products_services_10151807,10151807,Semillas o plántulas de azafrán,0
l10n_mx_wbl_products_services_10151808,10151808,Semillas o plántulas de tomillo,0
l10n_mx_wbl_products_services_10151809,10151809,Semillas o plántulas de curry,0
l10n_mx_wbl_products_services_10151810,10151810,Semillas o plántulas de mostaza,0
l10n_mx_wbl_products_services_10151811,10151811,Semillas o plántulas de ginseng,0
l10n_mx_wbl_products_services_10151812,10151812,Semillas o plántulas de champiñones,0
l10n_mx_wbl_products_services_10151813,10151813,Semillas o plántulas de sacha inchi,0
l10n_mx_wbl_products_services_10151814,10151814,Semillas o plántulas de achiote,0
l10n_mx_wbl_products_services_10151815,10151815,Semillas o plántulas de kudzu,0
l10n_mx_wbl_products_services_10151816,10151816,Semillas o plántulas de albahaca,0
l10n_mx_wbl_products_services_10151817,10151817,Semillas o plántulas de anís,0
l10n_mx_wbl_products_services_10151900,10151900,"Semillas, bulbos, plántulas y esquejes de flores",0
l10n_mx_wbl_products_services_10151901,10151901,"Semillas, bulbos, plántulas o esquejes de tulipán",0
l10n_mx_wbl_products_services_10151902,10151902,"Semillas, plántulas o esquejes de rosa",0
l10n_mx_wbl_products_services_10151903,10151903,"Semillas, bulbos, plántulas o esquejes de narciso",0
l10n_mx_wbl_products_services_10151904,10151904,Semillas de girasol,0
l10n_mx_wbl_products_services_10151905,10151905,Bulbos o tallos de jacinto,0
l10n_mx_wbl_products_services_10151906,10151906,Bulbos de lirio,0
l10n_mx_wbl_products_services_10151907,10151907,Semillas o plántulas de veza,0
l10n_mx_wbl_products_services_10152000,10152000,Semillas y esquejes de árboles y arbustos,0
l10n_mx_wbl_products_services_10152001,10152001,Semillas o esquejes de árboles frutales,0
l10n_mx_wbl_products_services_10152002,10152002,Semillas o esquejes de coníferas,0
l10n_mx_wbl_products_services_10152003,10152003,Semillas o esquejes de árboles de frutos secos,0
l10n_mx_wbl_products_services_10152004,10152004,Plántulas de latifoliados,0
l10n_mx_wbl_products_services_10152005,10152005,Plántulas de coníferas,0
l10n_mx_wbl_products_services_10152006,10152006,Semillas o yemas de pino,0
l10n_mx_wbl_products_services_10152007,10152007,Semillas o yemas de algarrobo,0
l10n_mx_wbl_products_services_10152100,10152100,Residuos que no sean de piensos,0
l10n_mx_wbl_products_services_10152101,10152101,Extracción de los residuos de semilla de babool,0
l10n_mx_wbl_products_services_10152102,10152102,Residuos de semilla de colza,0
l10n_mx_wbl_products_services_10152103,10152103,Residuo de semillas de linaza,0
l10n_mx_wbl_products_services_10152104,10152104,Torta de neem,0
l10n_mx_wbl_products_services_10152200,10152200,Semillas de cultivos fibrosos y semilleros,0
l10n_mx_wbl_products_services_10152201,10152201,Semillas o plántulas de algodón,0
l10n_mx_wbl_products_services_10152202,10152202,Semillas o plántulas de lino,0
l10n_mx_wbl_products_services_10152300,10152300,Plántulas y semillas de leguminosas,0
l10n_mx_wbl_products_services_10161500,10161500,Árboles y arbustos,0
l10n_mx_wbl_products_services_10161501,10161501,Aceitunos,0
l10n_mx_wbl_products_services_10161502,10161502,Cafetos,0
l10n_mx_wbl_products_services_10161503,10161503,Cacaoteros,0
l10n_mx_wbl_products_services_10161504,10161504,Manzanos,0
l10n_mx_wbl_products_services_10161505,10161505,Peros,0
l10n_mx_wbl_products_services_10161506,10161506,Naranjos,0
l10n_mx_wbl_products_services_10161507,10161507,Rododendros,0
l10n_mx_wbl_products_services_10161508,10161508,Plantas de te,0
l10n_mx_wbl_products_services_10161509,10161509,Coníferas,0
l10n_mx_wbl_products_services_10161510,10161510,Abetos rojos (píceas),0
l10n_mx_wbl_products_services_10161511,10161511,Pinos,0
l10n_mx_wbl_products_services_10161512,10161512,Abetos,0
l10n_mx_wbl_products_services_10161513,10161513,Palmeras,0
l10n_mx_wbl_products_services_10161514,10161514,Casuarina,0
l10n_mx_wbl_products_services_10161515,10161515,Ciprés,0
l10n_mx_wbl_products_services_10161516,10161516,Eucalipto,0
l10n_mx_wbl_products_services_10161517,10161517,Árbol de quinua,0
l10n_mx_wbl_products_services_10161518,10161518,Magnolio,0
l10n_mx_wbl_products_services_10161519,10161519,Mioporo,0
l10n_mx_wbl_products_services_10161520,10161520,Acalifa,0
l10n_mx_wbl_products_services_10161521,10161521,Tecomaria capensis o madreselva del cabo,0
