id,code,name
l10n_mx_wbl_maritime_containers_CM001,CM001,Contenedores refrigerados de 20FT
l10n_mx_wbl_maritime_containers_CM002,CM002,Contenedores refrigerados de 40FT
l10n_mx_wbl_maritime_containers_CM003,CM003,Contenedores estándar de 8FT
l10n_mx_wbl_maritime_containers_CM004,CM004,Contenedores estándar de 10FT
l10n_mx_wbl_maritime_containers_CM005,CM005,Contenedores estándar de 20FT
l10n_mx_wbl_maritime_containers_CM006,CM006,Contenedores estándar de 40FT
l10n_mx_wbl_maritime_containers_CM007,CM007,Contenedores Open Side
l10n_mx_wbl_maritime_containers_CM008,CM008,Contenedor Isotanque
l10n_mx_wbl_maritime_containers_CM009,CM009,Contenedor flat racks
