id,code,name,country_id,transport_id/id
l10n_mx_wbl_stationsPM065,PM065,Puerto Juárez,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM066,PM066,Isla Mujeres,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM067,PM067,Cancún,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM068,PM068,Puerto Morelos,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM069,PM069,Playa del Carmen,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM070,PM070,Punta Venado,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM071,PM071,Puerta Aventuras,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM072,PM072,Punta Allen,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM073,PM073,Majahual,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM074,PM074,La Aguada,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM075,PM075,Xcalac,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM076,PM076,Chetumal,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM077,PM077,Holbox,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM078,PM078,Mazatlán,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM079,PM079,Topolobampo,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM080,PM080,Altata,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM081,PM081,El Sábalo,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM082,PM082,Escuinapa,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM083,PM083,Teacapan,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM084,PM084,Guaymas,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM085,PM085,Puerto Peñasco,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM086,PM086,Golfo de Santa Clara,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM087,PM087,Bahía Kino,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM088,PM088,Yavaros,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM089,PM089,Puerto Libertad,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM090,PM090,General Rodolfo Sánchez Toboada,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM091,PM091,San Carlos,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM092,PM092,Dos Bocas,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM093,PM093,Frontera,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM094,PM094,Chiltepec,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM095,PM095,Sanchez Magallanes,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM096,PM096,Puerto Altamira,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM097,PM097,Puerto Tampico,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM098,PM098,Puerto Matamoros,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM099,PM099,La Pesca,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM100,PM100,Puerto de Veracruz,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM101,PM101,Tuxpan,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM102,PM102,Coatzacoalcos,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM103,PM103,Pajaritos,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM104,PM104,Alvarado,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM105,PM105,Tlacotalpan,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM106,PM106,Nautla,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM107,PM107,Tecolutla,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM108,PM108,Puerto Progreso,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM109,PM109,Celestún,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM110,PM110,Sisal,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM111,PM111,Chuburná,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM112,PM112,Yucalpetén,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM113,PM113,Telchac,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM114,PM114,Chabihau,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM115,PM115,Dzilam de Bravo,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM116,PM116,San Felipe,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM117,PM117,Río Lagartos,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM118,PM118,Las Coloradas,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsPM119,PM119,El Cuyo,MX,l10n_mx_wbl_transport_02
l10n_mx_wbl_stationsEA411,EA411,Licenciado Jesus Teran Peredo,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA412,EA412,General Alberto L. Salinas C.,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA413,EA413,General Rodolfo Sanchez Taboada,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA414,EA414,General Abelardo L. Rodriguez,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA415,EA415,Cabo San Lucas,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA416,EA416,General Manuel Marquez De Leon,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA417,EA417,Loreto,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA418,EA418,Los Cabos,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA419,EA419,Ciudad Del Carmen,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA420,EA420,Ingeniero Alberto Acuña Ongay,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA421,EA421,Palenque,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA422,EA422,Tapachula,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA423,EA423,Angel Albino Corzo,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA424,EA424,Abraham González,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA425,EA425,General Roberto Fierro Villalobos,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA426,EA426,Benito Juárez,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA427,EA427,Ciudad Acuña,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA428,EA428,Venustiano Carranza,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA429,EA429,Piedras Negras,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA430,EA430,Plan De Guadalupe,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA431,EA431,Francisco Sarabia,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA432,EA432,Licenciado Miguel De La Madrid,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA433,EA433,Playa De Oro,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA434,EA434,General Guadalupe Victoria,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA435,EA435,Base Aérea Militar No.1 Santa Lucia,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA436,EA436,Licenciado Adolfo Lopez Mateos,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA437,EA437,Guanajuato,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA438,EA438,General Juan N. Alvarez,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA439,EA439,Ixtapa Zihuatanejo,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA440,EA440,Don Miguel Hidalgo Y Costilla,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA441,EA441,Francisco Primo De Verdad,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA442,EA442,Licenciado Gustavo Díaz Ordaz,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA443,EA443,Lázaro Cárdenas,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA444,EA444,General Francisco J. Mujica,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA445,EA445,Licenciado Y General Ignacio Lopez Rayón,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA446,EA446,General Mariano Matamoros,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA447,EA447,Amado Nervo,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA448,EA448,General Mariano Escobedo,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA449,EA449,Aeropuerto Del Norte,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA450,EA450,Bahías De Huatulco,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA451,EA451,Ixtepec,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA452,EA452,Xoxocotlan,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA453,EA453,Puerto Escondido,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA454,EA454,Estación Aeronaval De Salina Cruz,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA455,EA455,Hermanos Serdán,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA456,EA456,Ingeniero Fernando Espinoza Gutiérrez,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA457,EA457,Chetumal,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA458,EA458,Cancún,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA459,EA459,Cozumel,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA460,EA460,Ponciano Arriaga,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA461,EA461,Tamuin,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA462,EA462,Federal De Bachigualato,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA463,EA463,Federal Del Valle Del Fuerte,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA464,EA464,General Rafael Buelna,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA465,EA465,Ciudad Obregón,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA466,EA466,General Jose Maria Yáñez,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA467,EA467,General Ignacio Pesqueira Garcia,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA468,EA468,Nogales,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA469,EA469,Punta Peñasco,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA470,EA470,C.P.A. Carlos Rovirosa Perez,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA471,EA471,General Pedro J. Méndez,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA472,EA472,General Servando Canales,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA473,EA473,Quetzalcóatl,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA474,EA474,General Lucio Blanco,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA475,EA475,General Francisco Javier Mina,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA476,EA476,El Lencero,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA477,EA477,Minatitlán,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA478,EA478,El Tajín,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA479,EA479,General Heriberto Jara Corona,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA480,EA480,Chichen Itzá,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA481,EA481,Licenciado Manuel Crescencio Rejón,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEA482,EA482,General Leobardo C. Ruiz,MX,l10n_mx_wbl_transport_03
l10n_mx_wbl_stationsEF001,EF001,Pantaco,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF002,EF002,Valle de México,MX,l10n_mx_wbl_transport_04
l10n_mx_wbl_stationsEF003,EF003,Tlalnepantla,MX,l10n_mx_wbl_transport_04
