id,code,name,description,flag
l10n_mx_wbl_unit_weight_XBQ,XBQ,Botella cilíndrica protegida,Recipiente de forma cilíndrica de cuello estrecho con material de empaque protector externo.,Packaging
l10n_mx_wbl_unit_weight_XBR,XBR,Barra,,Packaging
l10n_mx_wbl_unit_weight_XBS,XBS,"Botella, no-protegida en forma de bulbo",Recipiente en forma de bulbo de cuello estrecho sin material de empaque protector externo.,Packaging
l10n_mx_wbl_unit_weight_XBT,XBT,Rollo de tela,,Packaging
l10n_mx_wbl_unit_weight_XBU,XBU,Butt,Barril de 1/2 tonel,Packaging
l10n_mx_wbl_unit_weight_XBV,XBV,Botella de bulbo protegido,Recipiente en forma de bulbo de cuello estrecho con material de empaque protector externo.,Packaging
l10n_mx_wbl_unit_weight_XBW,XBW,Caja para líquidos,,Packaging
l10n_mx_wbl_unit_weight_XBX,XBX,Caja,,Packaging
l10n_mx_wbl_unit_weight_XBY,XBY,"Tablero, con fleje/ agrupados/ armados",,Packaging
l10n_mx_wbl_unit_weight_XBZ,XBZ,"Barras, con fleje/ agrupados/ armados",,Packaging
l10n_mx_wbl_unit_weight_XCA,XCA,Lata rectangular,,Packaging
l10n_mx_wbl_unit_weight_XCB,XCB,Cajón para cerveza,,Packaging
l10n_mx_wbl_unit_weight_XCC,XCC,Mantequera,,Packaging
l10n_mx_wbl_unit_weight_XCD,XCD,Lata con mango y boquilla,,Packaging
l10n_mx_wbl_unit_weight_XCE,XCE,Cesto tejido,,Packaging
l10n_mx_wbl_unit_weight_XCF,XCF,Cofre,,Packaging
l10n_mx_wbl_unit_weight_XCG,XCG,Contenedor tipo Jaula,,Packaging
l10n_mx_wbl_unit_weight_XCH,XCH,Cajonera,,Packaging
l10n_mx_wbl_unit_weight_XCI,XCI,Frasco,,Packaging
l10n_mx_wbl_unit_weight_XCJ,XCJ,Ataúd,,Packaging
l10n_mx_wbl_unit_weight_XCK,XCK,Barrica,,Packaging
l10n_mx_wbl_unit_weight_XCL,XCL,Espiral,,Packaging
l10n_mx_wbl_unit_weight_XCM,XCM,Paquete de tarjetas,Paquete plano normalmente hecho de cartón desde / hacia el cual el producto es a menudo colgado o unido.,Packaging
l10n_mx_wbl_unit_weight_XCN,XCN,"Contenedor, no especificado como equipo de transporte",,Packaging
l10n_mx_wbl_unit_weight_XCO,XCO,Garrafón no protegido,,Packaging
l10n_mx_wbl_unit_weight_XCP,XCP,Garrafón protegido,,Packaging
l10n_mx_wbl_unit_weight_XCQ,XCQ,Cartucho,Paquete que contiene una carga tal como un explosivo propulsor para armas de fuego o tóner de tinta para una impresora.,Packaging
l10n_mx_wbl_unit_weight_XCR,XCR,Cajón,,Packaging
l10n_mx_wbl_unit_weight_XCS,XCS,Estuche,,Packaging
l10n_mx_wbl_unit_weight_XCT,XCT,Cartón,,Packaging
l10n_mx_wbl_unit_weight_XCU,XCU,Vaso,,Packaging
